Time,Watts
2013-01-20 09:23:59 , 169
2013-01-20 09:24:07 , 180
2013-01-20 09:24:15 , 180
2013-01-20 09:24:23 , 180
2013-01-20 09:24:31 , 177
2013-01-20 09:24:40 , 178
2013-01-20 09:24:48 , 183
2013-01-20 09:24:56 , 174
2013-01-20 09:25:04 , 176
2013-01-20 09:25:12 , 178
2013-01-20 09:25:20 , 178
2013-01-20 09:25:29 , 171
2013-01-20 09:25:37 , 175
2013-01-20 09:25:45 , 179
2013-01-20 09:25:53 , 185
2013-01-20 09:26:02 , 185
2013-01-20 09:26:10 , 182
2013-01-20 09:26:18 , 175
2013-01-20 09:26:27 , 181
2013-01-20 09:26:35 , 180
2013-01-20 09:26:43 , 180
2013-01-20 09:26:51 , 182
2013-01-20 09:26:59 , 181
2013-01-20 09:27:07 , 181
2013-01-20 09:27:15 , 164
2013-01-20 09:27:26 , 175
2013-01-20 09:27:34 , 182
2013-01-20 09:27:44 , 176
2013-01-20 09:27:52 , 182
2013-01-20 09:28:00 , 175
2013-01-20 09:28:08 , 175
2013-01-20 09:28:17 , 181
2013-01-20 09:28:25 , 177
2013-01-20 09:28:33 , 181
2013-01-20 09:28:41 , 175
2013-01-20 09:28:49 , 171
2013-01-20 09:28:57 , 174
2013-01-20 09:29:05 , 182
2013-01-20 09:29:14 , 175
2013-01-20 09:29:22 , 184
2013-01-20 09:29:30 , 184
2013-01-20 09:29:38 , 179
2013-01-20 09:29:46 , 174
2013-01-20 09:29:54 , 185
2013-01-20 09:30:02 , 180
2013-01-20 09:30:11 , 170
2013-01-20 09:30:19 , 182
2013-01-20 09:30:27 , 181
2013-01-20 09:30:35 , 184
2013-01-20 09:30:43 , 184
2013-01-20 09:30:51 , 184
2013-01-20 09:31:00 , 176
2013-01-20 09:31:08 , 184
2013-01-20 09:31:16 , 186
2013-01-20 09:31:24 , 188
2013-01-20 09:31:32 , 180
2013-01-20 09:31:40 , 183
2013-01-20 09:31:48 , 179
2013-01-20 09:31:57 , 178
2013-01-20 09:32:05 , 185
2013-01-20 09:32:13 , 185
2013-01-20 09:32:21 , 176
2013-01-20 09:32:29 , 184
2013-01-20 09:32:37 , 185
2013-01-20 09:32:45 , 180
2013-01-20 09:32:54 , 186
2013-01-20 09:33:02 , 190
2013-01-20 09:33:10 , 175
2013-01-20 09:33:18 , 186
2013-01-20 09:33:26 , 172
2013-01-20 09:33:34 , 172
2013-01-20 09:33:42 , 175
2013-01-20 09:33:51 , 185
2013-01-20 09:33:59 , 181
2013-01-20 09:34:07 , 184
2013-01-20 09:34:15 , 182
2013-01-20 09:34:23 , 186
2013-01-20 09:34:31 , 177
2013-01-20 09:34:40 , 173
2013-01-20 09:34:48 , 170
2013-01-20 09:34:56 , 170
2013-01-20 09:35:04 , 177
2013-01-20 09:35:12 , 179
2013-01-20 09:35:20 , 179
2013-01-20 09:35:28 , 175
2013-01-20 09:35:37 , 173
2013-01-20 09:35:45 , 172
2013-01-20 09:35:53 , 173
2013-01-20 09:36:01 , 177
2013-01-20 09:36:09 , 175
2013-01-20 09:36:17 , 178
2013-01-20 09:36:26 , 178
2013-01-20 09:36:34 , 179
2013-01-20 09:36:42 , 178
2013-01-20 09:36:50 , 188
2013-01-20 09:36:58 , 194
2013-01-20 09:37:06 , 186
2013-01-20 09:37:14 , 190
2013-01-20 09:37:23 , 179
2013-01-20 09:37:31 , 196
2013-01-20 09:37:39 , 192
2013-01-20 09:37:47 , 192
2013-01-20 09:37:55 , 172
2013-01-20 09:38:03 , 181
2013-01-20 09:38:11 , 183
2013-01-20 09:38:20 , 185
2013-01-20 09:38:28 , 179
2013-01-20 09:38:36 , 175
2013-01-20 09:38:44 , 181
2013-01-20 09:38:52 , 180
2013-01-20 09:39:00 , 182
2013-01-20 09:39:08 , 182
2013-01-20 09:39:17 , 180
2013-01-20 09:39:25 , 167
2013-01-20 09:39:33 , 186
2013-01-20 09:39:41 , 184
2013-01-20 09:39:49 , 167
2013-01-20 09:39:57 , 173
2013-01-20 09:40:06 , 176
2013-01-20 09:40:14 , 181
2013-01-20 09:40:22 , 207
2013-01-20 09:40:32 , 207
2013-01-20 09:40:40 , 198
2013-01-20 09:40:48 , 203
2013-01-20 09:40:56 , 203
2013-01-20 09:41:05 , 202
2013-01-20 09:41:13 , 200
2013-01-20 09:41:21 , 203
2013-01-20 09:41:29 , 209
2013-01-20 09:41:37 , 209
2013-01-20 09:41:45 , 206
2013-01-20 09:41:53 , 206
2013-01-20 09:42:02 , 202
2013-01-20 09:42:10 , 207
2013-01-20 09:42:18 , 202
2013-01-20 09:42:26 , 200
2013-01-20 09:42:34 , 206
2013-01-20 09:42:42 , 209
2013-01-20 09:42:51 , 199
2013-01-20 09:42:59 , 205
2013-01-20 09:43:07 , 207
2013-01-20 09:43:15 , 207
2013-01-20 09:43:23 , 200
2013-01-20 09:43:31 , 241
2013-01-20 09:43:41 , 247
2013-01-20 09:43:50 , 246
2013-01-20 09:43:58 , 254
2013-01-20 09:44:06 , 238
2013-01-20 09:44:14 , 192
2013-01-20 09:44:24 , 205
2013-01-20 09:44:32 , 196
2013-01-20 09:44:40 , 196
2013-01-20 09:44:49 , 198
2013-01-20 09:44:57 , 198
2013-01-20 09:45:05 , 201
2013-01-20 09:45:13 , 194
2013-01-20 09:45:21 , 195
2013-01-20 09:45:29 , 189
2013-01-20 09:45:37 , 292
2013-01-20 09:45:48 , 301
2013-01-20 09:45:56 , 309
2013-01-20 09:46:05 , 309
2013-01-20 09:46:13 , 309
2013-01-20 09:46:21 , 306
2013-01-20 09:46:29 , 318
2013-01-20 09:46:38 , 304
2013-01-20 09:46:46 , 328
2013-01-20 09:46:56 , 315
2013-01-20 09:47:04 , 310
2013-01-20 09:47:13 , 302
2013-01-20 09:47:21 , 302
2013-01-20 09:47:29 , 312
2013-01-20 09:47:38 , 303
2013-01-20 09:47:46 , 300
2013-01-20 09:47:54 , 306
2013-01-20 09:48:02 , 307
2013-01-20 09:48:18 , 311
2013-01-20 09:48:26 , 302
2013-01-20 09:48:34 , 297
2013-01-20 09:48:43 , 1207
2013-01-20 09:48:53 , 1207
2013-01-20 09:49:01 , 572
2013-01-20 09:49:11 , 291
2013-01-20 09:49:21 , 654
2013-01-20 09:49:31 , 286
2013-01-20 09:49:42 , 291
2013-01-20 09:49:50 , 731
2013-01-20 09:50:00 , 353
2013-01-20 09:50:10 , 353
2013-01-20 09:50:18 , 779
2013-01-20 09:50:28 , 389
2013-01-20 09:50:38 , 784
2013-01-20 09:50:49 , 773
2013-01-20 09:50:57 , 354
2013-01-20 09:51:07 , 853
2013-01-20 09:51:17 , 387
2013-01-20 09:51:27 , 825
2013-01-20 09:51:37 , 2167
2013-01-20 09:51:48 , 2487
2013-01-20 09:51:58 , 2153
2013-01-20 09:52:08 , 2386
2013-01-20 09:52:18 , 2180
2013-01-20 09:52:27 , 2182
2013-01-20 09:52:35 , 2721
2013-01-20 09:52:45 , 2446
2013-01-20 09:52:56 , 2446
2013-01-20 09:53:04 , 2446
2013-01-20 09:53:12 , 2145
2013-01-20 09:53:22 , 2385
2013-01-20 09:53:32 , 2156
2013-01-20 09:53:49 , 2155
2013-01-20 09:53:58 , 2143
2013-01-20 09:54:07 , 2161
2013-01-20 09:54:15 , 2161
2013-01-20 09:54:23 , 2183
2013-01-20 09:54:32 , 2463
2013-01-20 09:54:42 , 2175
2013-01-20 09:54:52 , 2577
2013-01-20 09:55:03 , 2386
2013-01-20 09:55:12 , 2177
2013-01-20 09:55:22 , 2180
2013-01-20 09:55:30 , 2494
2013-01-20 09:55:40 , 2494
2013-01-20 09:55:48 , 2816
2013-01-20 09:55:58 , 2503
2013-01-20 09:56:09 , 2244
2013-01-20 09:56:19 , 2221
2013-01-20 09:56:28 , 2491
2013-01-20 09:56:38 , 2245
2013-01-20 09:56:47 , 2573
2013-01-20 09:56:56 , 2236
2013-01-20 09:57:07 , 2236
2013-01-20 09:57:15 , 2477
2013-01-20 09:57:25 , 2233
2013-01-20 09:57:34 , 2249
2013-01-20 09:57:43 , 2513
2013-01-20 09:57:52 , 2245
2013-01-20 09:58:01 , 2562
2013-01-20 09:58:11 , 2531
2013-01-20 09:58:20 , 2256
2013-01-20 09:58:29 , 2256
2013-01-20 09:58:37 , 2235
2013-01-20 09:58:46 , 2511
2013-01-20 09:58:55 , 2294
2013-01-20 09:59:05 , 2258
2013-01-20 09:59:14 , 2597
2013-01-20 09:59:23 , 2597
2013-01-20 09:59:31 , 2261
2013-01-20 09:59:40 , 2373
2013-01-20 09:59:49 , 2373
2013-01-20 09:59:57 , 2397
2013-01-20 10:00:07 , 2147
2013-01-20 10:00:17 , 2419
2013-01-20 10:00:27 , 2154
2013-01-20 10:00:37 , 2348
2013-01-20 10:00:46 , 2132
2013-01-20 10:00:55 , 2486
2013-01-20 10:01:05 , 2118
2013-01-20 10:01:16 , 2118
2013-01-20 10:01:24 , 2132
2013-01-20 10:01:32 , 2673
2013-01-20 10:01:42 , 2137
2013-01-20 10:01:52 , 2393
2013-01-20 10:02:02 , 2152
2013-01-20 10:02:13 , 2428
2013-01-20 10:02:23 , 2140
2013-01-20 10:02:33 , 2413
2013-01-20 10:02:43 , 2118
2013-01-20 10:02:53 , 2398
2013-01-20 10:03:03 , 2225
2013-01-20 10:03:12 , 2446
2013-01-20 10:03:22 , 2507
2013-01-20 10:03:31 , 2148
2013-01-20 10:03:41 , 2690
2013-01-20 10:03:51 , 2372
2013-01-20 10:04:01 , 2372
2013-01-20 10:04:09 , 2413
2013-01-20 10:04:19 , 2147
2013-01-20 10:04:28 , 2131
2013-01-20 10:04:38 , 2403
2013-01-20 10:04:48 , 2136
2013-01-20 10:04:58 , 2380
2013-01-20 10:05:08 , 2407
2013-01-20 10:05:17 , 2178
2013-01-20 10:05:27 , 2176
2013-01-20 10:05:35 , 2596
2013-01-20 10:05:44 , 2378
2013-01-20 10:05:53 , 2909
2013-01-20 10:06:03 , 2621
2013-01-20 10:06:12 , 2269
2013-01-20 10:06:22 , 2549
2013-01-20 10:06:33 , 2501
2013-01-20 10:06:42 , 2501
2013-01-20 10:06:50 , 2493
2013-01-20 10:06:58 , 2197
2013-01-20 10:07:08 , 2189
2013-01-20 10:07:16 , 2445
2013-01-20 10:07:27 , 2245
2013-01-20 10:07:36 , 2509
2013-01-20 10:07:45 , 2197
2013-01-20 10:07:55 , 2221
2013-01-20 10:08:04 , 2221
2013-01-20 10:08:12 , 2429
2013-01-20 10:08:22 , 2221
2013-01-20 10:08:32 , 3748
2013-01-20 10:08:42 , 2261
2013-01-20 10:08:52 , 2533
2013-01-20 10:09:02 , 2525
2013-01-20 10:09:10 , 2245
2013-01-20 10:09:28 , 2445
2013-01-20 10:09:38 , 2213
2013-01-20 10:09:47 , 2613
2013-01-20 10:09:57 , 2341
2013-01-20 10:10:07 , 2373
2013-01-20 10:10:16 , 2949
2013-01-20 10:10:26 , 2645
2013-01-20 10:10:36 , 2397
2013-01-20 10:10:46 , 2661
2013-01-20 10:10:55 , 2661
2013-01-20 10:11:03 , 2685
